higherClassification;order;family;canonicalName;threatStatus
Anfíbios;Anura;Phyllomedusidae;Pithecopus rusticus;Criticamente em Perigo (CR)
Anfíbios;Anura;Strabomantidae;Holoaden bradei;Criticamente em Perigo (CR)(PEX)
Anfíbios;Anura;Strabomantidae;Holoaden luederwaldti;Quase Ameaçada (NT)
Anfíbios;Caudata;Plethodontidae;Bolitoglossa paraensis;Menos Preocupante (LC)
Répteis;Squamata;Amphisbaenidae;Amphisbaena arda;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Amphisbaena frontalis;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Amphisbaena nigricauda;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Amphisbaena supernumeraria;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Amphisbaena uroxena;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Leposternon kisteumacheri;Vulnerável (VU)
Répteis;Squamata;Amphisbaenidae;Leposternon octostegum;Em Perigo (EN)
Répteis;Squamata;Amphisbaenidae;Leposternon scutigerum;Em Perigo (EN)
Répteis;Squamata;Boidae;Corallus cropanii;Vulnerável (VU)
Répteis;Squamata;Dactyloidae;Dactyloa nasofrontalis;Vulnerável (VU)
Répteis;Squamata;Dactyloidae;Dactyloa pseudotigrina;Vulnerável (VU)
Répteis;Squamata;Dipsadidae;Apostolepis arenaria;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Apostolepis gaboi;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Apostolepis quirogai;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Apostolepis serrana;Dados Insuficientes (DD)
Répteis;Squamata;Dipsadidae;Apostolepis striata;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Atractus caete;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Atractus hoogmoedi;Dados Insuficientes (DD)
Répteis;Squamata;Dipsadidae;Atractus ronnie;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Atractus serranus;Menos Preocupante (LC)
Répteis;Squamata;Dipsadidae;Atractus thalesdelemai;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Calamodontophis paucidens;Menos Preocupante (LC)
Répteis;Squamata;Dipsadidae;Calamodontophis ronaldoi;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Ditaxodon taeniatus;Vulnerável (VU)
Répteis;Squamata;Dipsadidae;Echinanthera cephalomaculata;Vulnerável (VU)
Répteis;Squamata;Dipsadidae;Hydrodynastes melanogigas;Menos Preocupante (LC)
Répteis;Squamata;Dipsadidae;Phalotris multipunctatus;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Philodryas livida;Vulnerável (VU)
Répteis;Squamata;Dipsadidae;Rodriguesophis chui;Em Perigo (EN)
Répteis;Squamata;Dipsadidae;Rodriguesophis scriptorcibatus;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Bachia didactyla;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Bachia psamophila;Criticamente em Perigo (CR)
Répteis;Squamata;Gymnophthalmidae;Calyptommatus leiolepis;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Calyptommatus nicterus;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Calyptommatus sinebrachiatus;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Colobodactylus dalcyanus;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Heterodactylus lundii;Vulnerável (VU)
Répteis;Squamata;Gymnophthalmidae;Heterodactylus septentrionalis;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Leposoma annectans;Vulnerável (VU)
Répteis;Squamata;Gymnophthalmidae;Leposoma baturitensis;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Leposoma nanodactylus;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Leposoma puk;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Placosoma cipoense;Em Perigo (EN)
Répteis;Squamata;Gymnophthalmidae;Procellosaurinus tetradactylus;Em Perigo (EN)
Répteis;Squamata;Leiosauridae;Enyalius erythroceneus;Criticamente em Perigo (CR)
Répteis;Squamata;Liolaemidae;Liolaemus arambarensis;Em Perigo (EN)
Répteis;Squamata;Liolaemidae;Liolaemus lutzae;Criticamente em Perigo (CR)
Répteis;Squamata;Liolaemidae;Liolaemus occipitalis;Vulnerável (VU)
Répteis;Squamata;Mabuyidae;Brasiliscincus caissara;Em Perigo (EN)
Répteis;Squamata;Phyllodactylidae;Homonota uruguayensis;Vulnerável (VU)
Répteis;Squamata;Sphaerodactylidae;Coleodactylus natalensis;Em Perigo (EN)
Répteis;Squamata;Sphaerodactylidae;Gonatodes tapajonicus;Em Perigo (EN)
Répteis;Squamata;Teiidae;Ameiva parecis;Em Perigo (EN)
Répteis;Squamata;Teiidae;Ameivula nativo;Em Perigo (EN)
Répteis;Squamata;Teiidae;Contomastix vacariensis;Vulnerável (VU)
Répteis;Squamata;Teiidae;Glaucomastix abaetensis;Em Perigo (EN)
Répteis;Squamata;Teiidae;Glaucomastix littoralis;Em Perigo (EN)
Répteis;Squamata;Teiidae;Kentropyx vanzoi;Vulnerável (VU)
Répteis;Squamata;Tropidophiidae;Tropidophis grapiuna;Vulnerável (VU)
Répteis;Squamata;Tropiduridae;Eurolophosaurus amathites;Em Perigo (EN)
Répteis;Squamata;Tropiduridae;Stenocercus azureus;Em Perigo (EN)
Répteis;Squamata;Tropiduridae;Stenocercus dumerilii;Vulnerável (VU)
Répteis;Squamata;Tropiduridae;Tropidurus erythrocephalus;Vulnerável (VU)
Répteis;Squamata;Tropiduridae;Tropidurus hygomi;Vulnerável (VU)
Répteis;Squamata;Tropiduridae;Tropidurus imbituba;Criticamente em Perigo (CR)
Répteis;Squamata;Tropiduridae;Tropidurus psammonastes;Em Perigo (EN)
Répteis;Squamata;Typhlopidae;Amerotyphlops amoipira;Menos Preocupante (LC)
Répteis;Squamata;Typhlopidae;Amerotyphlops paucisquamus;Menos Preocupante (LC)
Répteis;Squamata;Typhlopidae;Amerotyphlops yonenagae;Dados Insuficientes (DD)
Répteis;Squamata;Viperidae;Bothrops alcatraz;Criticamente em Perigo (CR)
Répteis;Squamata;Viperidae;Bothrops insularis;Criticamente em Perigo (CR)
Répteis;Squamata;Viperidae;Bothrops muriciensis;Em Perigo (EN)
Répteis;Squamata;Viperidae;Bothrops otavioi;Criticamente em Perigo (CR)
Répteis;Squamata;Viperidae;Bothrops pirajai;Em Perigo (EN)
Répteis;Testudines;Chelidae;Mesoclemmys hogei;Vulnerável (VU)
Répteis;Testudines;Cheloniidae;Caretta caretta;Vulnerável (VU)
Répteis;Testudines;Cheloniidae;Chelonia mydas;Quase Ameaçada (NT)
Répteis;Testudines;Cheloniidae;Eretmochelys imbricata;Em Perigo (EN)
Répteis;Testudines;Cheloniidae;Lepidochelys olivacea;Vulnerável (VU)
Répteis;Testudines;Dermochelyidae;Dermochelys coriacea;Criticamente em Perigo (CR)
Aves;Accipitriformes;Accipitridae;Amadonastur lacernulatus;Vulnerável (VU)
Aves;Accipitriformes;Accipitridae;Circus cinereus;Vulnerável (VU)
Aves;Accipitriformes;Accipitridae;Harpia harpyja;Vulnerável (VU)
Aves;Accipitriformes;Accipitridae;Leptodon forbesi;Em Perigo (EN)
Aves;Accipitriformes;Accipitridae;Morphnus guianensis;Vulnerável (VU)
Aves;Accipitriformes;Accipitridae;Urubitinga coronata;Em Perigo (EN)
Aves;Anseriformes;Anatidae;Mergus octosetaceus;Criticamente em Perigo (CR)
Aves;Apodiformes;Trochilidae;Augastes lumachella;Em Perigo (EN)
Aves;Apodiformes;Trochilidae;Campylopterus calcirupicola;Em Perigo (EN)
Aves;Apodiformes;Trochilidae;Colibri delphinae greenewalti;Em Perigo (EN)
Aves;Apodiformes;Trochilidae;Discosura langsdorffi langsdorffi;Em Perigo (EN)
Aves;Apodiformes;Trochilidae;Glaucis dohrnii;Vulnerável (VU)
Aves;Apodiformes;Trochilidae;Lophornis gouldii;Vulnerável (VU)
Aves;Apodiformes;Trochilidae;Phaethornis aethopygus;Vulnerável (VU)
Aves;Apodiformes;Trochilidae;Phaethornis bourcieri major;Vulnerável (VU)
Aves;Apodiformes;Trochilidae;Phaethornis margarettae;Em Perigo (EN)
Aves;Apodiformes;Trochilidae;Phaethornis margarettae camargoi;Criticamente em Perigo (CR)
Aves;Apodiformes;Trochilidae;Thalurania watertonii;Em Perigo (EN)
Aves;Caprimulgiformes;Caprimulgidae;Hydropsalis candicans;Em Perigo (EN)
Aves;Caprimulgiformes;Caprimulgidae;Nyctiprogne vielliardi;Em Perigo (EN)
Aves;Charadriiformes;Burhinidae;Burhinus bistriatus;Vulnerável (VU)
Aves;Charadriiformes;Charadriidae;Charadrius wilsonia;Vulnerável (VU)
Aves;Charadriiformes;Scolopacidae;Calidris canutus;Vulnerável (VU)
Aves;Charadriiformes;Scolopacidae;Calidris pusilla;Em Perigo (EN)
Aves;Charadriiformes;Scolopacidae;Calidris subruficollis;Vulnerável (VU)
Aves;Charadriiformes;Scolopacidae;Limnodromus griseus;Em Perigo (EN)
Aves;Charadriiformes;Scolopacidae;Numenius borealis;Regionalmente Extinta (RE)
Aves;Charadriiformes;Scolopacidae;Numenius hudsonicus;Vulnerável (VU)
Aves;Charadriiformes;Sternidae;Sterna dougallii;Vulnerável (VU)
Aves;Charadriiformes;Sternidae;Sterna hirundinacea;Vulnerável (VU)
Aves;Charadriiformes;Sternidae;Thalasseus acuflavidus;Vulnerável (VU)
Aves;Charadriiformes;Sternidae;Thalasseus maximus;Em Perigo (EN)
Aves;Ciconiiformes;Procellariidae;Pterodroma madeira;Em Perigo (EN)
Aves;Columbiformes;Columbidae;Claravis geoffroyi;Criticamente em Perigo (CR)(PEX)
Aves;Columbiformes;Columbidae;Columbina cyanopis;Criticamente em Perigo (CR)
Aves;Coraciiformes;Momotidae;Momotus momota marcgraviana;Em Perigo (EN)
Aves;Cuculiformes;Cuculidae;Neomorphus geoffroyi;Vulnerável (VU)
Aves;Cuculiformes;Cuculidae;Neomorphus geoffroyi amazonicus;Vulnerável (VU)
Aves;Cuculiformes;Cuculidae;Neomorphus geoffroyi dulcis;Em Perigo (EN)
Aves;Cuculiformes;Cuculidae;Neomorphus geoffroyi geoffroyi;Criticamente em Perigo (CR)(PEX)
Aves;Cuculiformes;Cuculidae;Neomorphus squamiger;Vulnerável (VU)
Aves;Galbuliformes;Bucconidae;Malacoptila striata minor;Vulnerável (VU)
Aves;Galbuliformes;Bucconidae;Monasa morphoeus morphoeus;Em Perigo (EN)
Aves;Galliformes;Cracidae;Aburria cujubi;Vulnerável (VU)
Aves;Galliformes;Cracidae;Aburria jacutinga;Em Perigo (EN)
Aves;Galliformes;Cracidae;Crax blumenbachii;Em Perigo (EN)
Aves;Galliformes;Cracidae;Crax fasciolata pinima;Criticamente em Perigo (CR)
Aves;Galliformes;Cracidae;Crax globulosa;Em Perigo (EN)
Aves;Galliformes;Cracidae;Ortalis guttata remota;Criticamente em Perigo (CR)
Aves;Galliformes;Cracidae;Pauxi mitu;Extinta na Natureza (EW)
Aves;Galliformes;Cracidae;Penelope jacucaca;Vulnerável (VU)
Aves;Galliformes;Cracidae;Penelope ochrogaster;Quase Ameaçada (NT)
Aves;Galliformes;Cracidae;Penelope pileata;Vulnerável (VU)
Aves;Galliformes;Cracidae;Penelope superciliaris alagoensis;Criticamente em Perigo (CR)
Aves;Galliformes;Odontophoridae;Odontophorus capueira plumbeicollis;Criticamente em Perigo (CR)
Aves;Gruiformes;Psophiidae;Psophia dextralis;Vulnerável (VU)
Aves;Gruiformes;Psophiidae;Psophia interjecta;Em Perigo (EN)
Aves;Gruiformes;Psophiidae;Psophia obscura;Criticamente em Perigo (CR)
Aves;Gruiformes;Rallidae;Laterallus xenopterus;Em Perigo (EN)
Aves;Gruiformes;Rallidae;Porzana spiloptera;Em Perigo (EN)
Aves;Nyctibiiformes;Nyctibiidae;Nyctibius aethereus aethereus;Em Perigo (EN)
Aves;Nyctibiiformes;Nyctibiidae;Nyctibius leucopterus;Criticamente em Perigo (CR)
Aves;Passeriformes;Cardinalidae;Caryothraustes canadensis frontalis;Vulnerável (VU)
Aves;Passeriformes;Cardinalidae;Granatellus pelzelni paraenses;Vulnerável (VU)
Aves;Passeriformes;Conopophagidae;Conopophaga cearae;Em Perigo (EN)
Aves;Passeriformes;Conopophagidae;Conopophaga lineata lineata;Vulnerável (VU)
Aves;Passeriformes;Conopophagidae;Conopophaga melanops nigrifrons;Quase Ameaçada (NT)
Aves;Passeriformes;Corvidae;Cyanocorax hafferi;Vulnerável (VU)
Aves;Passeriformes;Cotingidae;Calyptura cristata;Criticamente em Perigo (CR)(PEX)
Aves;Passeriformes;Cotingidae;Carpornis melanocephala;Quase Ameaçada (NT)
Aves;Passeriformes;Cotingidae;Cotinga maculata;Em Perigo (EN)
Aves;Passeriformes;Cotingidae;Lipaugus conditus;Vulnerável (VU)
Aves;Passeriformes;Cotingidae;Procnias albus wallacei;Vulnerável (VU)
Aves;Passeriformes;Cotingidae;Xipholena atropurpurea;Vulnerável (VU)
Aves;Passeriformes;Cotingidae;Xipholena lamellipennis;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Campylorhamphus cardosoi;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Campylorhamphus multostriatus;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Campylorhamphus trochilirostris trochilirostris;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Dendrexetastes rufigula paraensis;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Dendrocincla merula badia;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Dendrocincla taunayi;Em Perigo (EN)
Aves;Passeriformes;Dendrocolaptidae;Dendrocolaptes medius;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Dendrocolaptes picumnus transfasciatus;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Dendrocolaptes retentus;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Hylexetastes brigidai;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Hylexetastes uniformis;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Lepidocolaptes wagleri;Menos Preocupante (LC)
Aves;Passeriformes;Dendrocolaptidae;Xiphocolaptes carajaensis;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Xiphorhynchus atlanticus;Vulnerável (VU)
Aves;Passeriformes;Dendrocolaptidae;Xiphorhynchus guttatoides gracilirostris;Em Perigo (EN)
Aves;Passeriformes;Formicariidae;Chamaeza nobilis fulvipectus;Vulnerável (VU)
Aves;Passeriformes;Fringillidae;Spinus yarrellii;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Acrobatornis fonsecai;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Anabazenops dorsalis;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Asthenes hudsoni;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Asthenes luizae;Em Perigo (EN)
Aves;Passeriformes;Furnariidae;Automolus lammi;Em Perigo (EN)
Aves;Passeriformes;Furnariidae;Cichlocolaptes mazarbarnetti;Extinta (EX)
Aves;Passeriformes;Furnariidae;Cinclodes espinhacensis;Em Perigo (EN)
Aves;Passeriformes;Furnariidae;Coryphistera alaudina;Criticamente em Perigo (CR)
Aves;Passeriformes;Furnariidae;Cranioleuca muelleri;Quase Ameaçada (NT)
Aves;Passeriformes;Furnariidae;Leptasthenura platensis;Criticamente em Perigo (CR)
Aves;Passeriformes;Furnariidae;Philydor novaesi ;Extinta (EX)
Aves;Passeriformes;Furnariidae;Pseudoseisura lophotes;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Synallaxis infuscata;Em Perigo (EN)
Aves;Passeriformes;Furnariidae;Synallaxis kollari;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Syndactyla ucayalae;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Thripophaga macroura;Vulnerável (VU)
Aves;Passeriformes;Furnariidae;Xiphocolaptes falcirostris;Vulnerável (VU)
Aves;Passeriformes;Grallariidae;Grallaria varia distincta;Vulnerável (VU)
Aves;Passeriformes;Grallariidae;Grallaria varia intercedens;Em Perigo (EN)
Aves;Passeriformes;Grallariidae;Hylopezus paraensis;Vulnerável (VU)
Aves;Passeriformes;Grallariidae;Hylopezus whittakeri;Vulnerável (VU)
Aves;Passeriformes;Icteridae;Anumara forbesi;Vulnerável (VU)
Aves;Passeriformes;Icteridae;Cacicus koepckeae;Vulnerável (VU)
Aves;Passeriformes;Icteridae;Sturnella defilippii ;Regionalmente Extinta (RE)
Aves;Passeriformes;Icteridae;Xanthopsar flavus;Vulnerável (VU)
Aves;Passeriformes;Motacillidae;Anthus nattereri;Vulnerável (VU)
Aves;Passeriformes;Oxyruncidae;Oxyruncus cristatus tocantinsi;Vulnerável (VU)
Aves;Passeriformes;Passerellidae;Arremonops conirostris;Em Perigo (EN)
Aves;Passeriformes;Pipridae;Antilophia bokermanni;Criticamente em Perigo (CR)
Aves;Passeriformes;Pipridae;Lepidothrix iris;Em Perigo (EN)
Aves;Passeriformes;Pipridae;Lepidothrix iris iris;Em Perigo (EN)
Aves;Passeriformes;Pipridae;Lepidothrix vilasboasi;Em Perigo (EN)
Aves;Passeriformes;Pipridae;Neopelma aurifrons;Em Perigo (EN)
Aves;Passeriformes;Pipritidae;Piprites chloris grisescens;Menos Preocupante (LC)
Aves;Passeriformes;Platyrinchidae;Platyrinchus leucoryphus;Vulnerável (VU)
Aves;Passeriformes;Rhinocryptidae;Eleoscytalopus psychopompus;Em Perigo (EN)
Aves;Passeriformes;Rhinocryptidae;Merulaxis stresemanni;Criticamente em Perigo (CR)
Aves;Passeriformes;Rhinocryptidae;Scytalopus diamantinensis;Em Perigo (EN)
Aves;Passeriformes;Rhinocryptidae;Scytalopus gonzagai;Em Perigo (EN)
Aves;Passeriformes;Rhinocryptidae;Scytalopus iraiensis;Em Perigo (EN)
Aves;Passeriformes;Rhinocryptidae;Scytalopus novacapitalis;Em Perigo (EN)
Aves;Passeriformes;Rhynchocyclidae;Cnipodectes superrufus;Vulnerável (VU)
Aves;Passeriformes;Rhynchocyclidae;Hemitriccus furcatus;Menos Preocupante (LC)
Aves;Passeriformes;Rhynchocyclidae;Hemitriccus griseipectus naumburgae;Menos Preocupante (LC)
Aves;Passeriformes;Rhynchocyclidae;Hemitriccus kaempferi;Vulnerável (VU)
Aves;Passeriformes;Rhynchocyclidae;Hemitriccus mirandae;Em Perigo (EN)
Aves;Passeriformes;Rhynchocyclidae;Phylloscartes beckeri;Em Perigo (EN)
Aves;Passeriformes;Rhynchocyclidae;Phylloscartes ceciliae;Criticamente em Perigo (CR)
Aves;Passeriformes;Rhynchocyclidae;Phylloscartes roquettei;Em Perigo (EN)
Aves;Passeriformes;Rhynchocyclidae;Poecilotriccus albifacies;Vulnerável (VU)
Aves;Passeriformes;Scleruridae;Geositta poeciloptera;Vulnerável (VU)
Aves;Passeriformes;Scleruridae;Sclerurus caudacutus caligineus;Criticamente em Perigo (CR)
Aves;Passeriformes;Scleruridae;Sclerurus caudacutus umbretta;Criticamente em Perigo (CR)
Aves;Passeriformes;Scleruridae;Sclerurus cearensis;Em Perigo (EN)
Aves;Passeriformes;Scleruridae;Sclerurus macconnelli bahiae;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Cercomacra ferdinandi;Quase Ameaçada (NT)
Aves;Passeriformes;Thamnophilidae;Clytoctantes atrogularis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Dysithamnus plumbeus;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Epinecrophylla dentei;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Formicivora acutirostris;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Formicivora erythronotos;Criticamente em Perigo (CR)
Aves;Passeriformes;Thamnophilidae;Formicivora grantsaui;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Formicivora littoralis;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Formicivora paludicola;Criticamente em Perigo (CR)
Aves;Passeriformes;Thamnophilidae;Herpsilochmus pileatus;Quase Ameaçada (NT)
Aves;Passeriformes;Thamnophilidae;Hypocnemis hypoxantha ochraceiventris;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Hypocnemis ochrogyna;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Hypocnemis striata;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Myrmoderus ruficauda;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Myrmotherula fluminensis;Criticamente em Perigo (CR)(PEX)
Aves;Passeriformes;Thamnophilidae;Myrmotherula klagesi;Menos Preocupante (LC)
Aves;Passeriformes;Thamnophilidae;Myrmotherula minor;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Myrmotherula oreni;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Myrmotherula snowi;Criticamente em Perigo (CR)
Aves;Passeriformes;Thamnophilidae;Myrmotherula urosticta;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Phlegopsis borbae;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Phlegopsis nigromaculata confinis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Phlegopsis nigromaculata paraensis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Pyriglena atra;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Pyriglena pernambucensis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Rhegmatorhina gymnops;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Rhegmatorhina hoffmannsi;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Rhopornis ardesiacus;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Terenura sicki;Criticamente em Perigo (CR)
Aves;Passeriformes;Thamnophilidae;Thamnomanes caesius caesius;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Thamnophilus aethiops distans;Em Perigo (EN)
Aves;Passeriformes;Thamnophilidae;Thamnophilus caerulescens cearensis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Thamnophilus caerulescens pernambucensis;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Thamnophilus nigrocinereus huberi;Vulnerável (VU)
Aves;Passeriformes;Thamnophilidae;Thamnophilus nigrocinereus tschudii;Em Perigo (EN)
Aves;Passeriformes;Thraupidae;Conothraupis mesoleuca;Em Perigo (EN)
Aves;Passeriformes;Thraupidae;Coryphaspiza melanotis;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Gubernatrix cristata;Criticamente em Perigo (CR)
Aves;Passeriformes;Thraupidae;Nemosia rourei;Criticamente em Perigo (CR)
Aves;Passeriformes;Thraupidae;Sporophila beltoni;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila falcirostris;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila frontalis;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila hypoxantha;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila maximiliani;Criticamente em Perigo (CR)
Aves;Passeriformes;Thraupidae;Sporophila melanogaster;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila nigrorufa;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila palustris;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Sporophila ruficollis;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Tangara cyanocephala cearensis;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Tangara fastuosa;Vulnerável (VU)
Aves;Passeriformes;Thraupidae;Tangara peruviana;Quase Ameaçada (NT)
Aves;Passeriformes;Thraupidae;Tangara velia signata;Vulnerável (VU)
Aves;Passeriformes;Tityridae;Iodopleura pipra;Em Perigo (EN)
Aves;Passeriformes;Tityridae;Iodopleura pipra leucopygia;Em Perigo (EN)
Aves;Passeriformes;Tityridae;Iodopleura pipra pipra;Em Perigo (EN)
Aves;Passeriformes;Tityridae;Laniisoma elegans;Em Perigo (EN)
Aves;Passeriformes;Tityridae;Onychorhynchus swainsoni;Vulnerável (VU)
Aves;Passeriformes;Tityridae;Schiffornis turdina intermedia;Vulnerável (VU)
Aves;Passeriformes;Troglodytidae;Cyphorhinus griseolateralis;Vulnerável (VU)
Aves;Passeriformes;Turdidae;Cichlopsis leucogenys;Em Perigo (EN)
Aves;Passeriformes;Tyrannidae;Alectrurus tricolor;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Attila spadiceus uropygiatus;Em Perigo (EN)
Aves;Passeriformes;Tyrannidae;Contopus nigrescens;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Elaenia ridleyana;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Knipolegus franciscanus;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Phyllomyias reiseri;Em Perigo (EN)
Aves;Passeriformes;Tyrannidae;Platyrinchus mystaceus niveigularis;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Serpophaga hypoleuca pallida;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Stigmatura napensis napensis;Vulnerável (VU)
Aves;Passeriformes;Tyrannidae;Xolmis dominicanus;Vulnerável (VU)
Aves;Passeriformes;Vireonidae;Tunchiornis ochraceiceps rubrifrons;Menos Preocupante (LC)
Aves;Passeriformes;Vireonidae;Vireo gracilirostris;Vulnerável (VU)
Aves;Passeriformes;Xenopidae;Xenops minutus alagoanus;Vulnerável (VU)
Aves;Pelecaniformes;Ardeidae;Tigrisoma fasciatum;Vulnerável (VU)
Aves;Phaethontiformes;Phaethontidae;Phaethon aethereus;Em Perigo (EN)
Aves;Phaethontiformes;Phaethontidae;Phaethon lepturus;Em Perigo (EN)
Aves;Piciformes;Picidae;Celeus flavus subflavus;Criticamente em Perigo (CR)
Aves;Piciformes;Picidae;Celeus galeatus;Em Perigo (EN)
Aves;Piciformes;Picidae;Celeus obrieni;Vulnerável (VU)
Aves;Piciformes;Picidae;Celeus torquatus pieteroyensi;Vulnerável (VU)
Aves;Piciformes;Picidae;Celeus torquatus tinnunculus;Em Perigo (EN)
Aves;Piciformes;Picidae;Piculus paraensis;Vulnerável (VU)
Aves;Piciformes;Picidae;Piculus polyzonus;Em Perigo (EN)
Aves;Piciformes;Picidae;Picumnus varzeae;Dados Insuficientes (DD)
Aves;Piciformes;Ramphastidae;Capito dayi;Vulnerável (VU)
Aves;Piciformes;Ramphastidae;Pteroglossus bitorquatus bitorquatus;Vulnerável (VU)
Aves;Piciformes;Ramphastidae;Selenidera gouldii baturitensis;Em Perigo (EN)
Aves;Procellariiformes;Diomedeidae;Diomedea dabbenena;Criticamente em Perigo (CR)
Aves;Procellariiformes;Diomedeidae;Diomedea epomophora;Vulnerável (VU)
Aves;Procellariiformes;Diomedeidae;Diomedea exulans;Criticamente em Perigo (CR)
Aves;Procellariiformes;Diomedeidae;Diomedea sanfordi;Em Perigo (EN)
Aves;Procellariiformes;Diomedeidae;Thalassarche chlororhynchos;Em Perigo (EN)
Aves;Procellariiformes;Procellariidae;Procellaria aequinoctialis;Vulnerável (VU)
Aves;Procellariiformes;Procellariidae;Procellaria conspicillata;Vulnerável (VU)
Aves;Procellariiformes;Procellariidae;Pterodroma arminjoniana;Criticamente em Perigo (CR)
Aves;Procellariiformes;Procellariidae;Pterodroma deserta;Vulnerável (VU)
